entity,period,state,state_code,life,annuity,ah,other,total,deposit
BLC,2022Q4,North Carolina,NC,18975746,96291987,22959247,138226979,158607,0
BLC,2022Q4,North Dakota,ND,534047,2168399,1013897,0,3716342,0
BLC,2022Q4,Ohio,OH,17819511,43994499,16164745,77978756,296758,0
BLC,2022Q4,Oklahoma,OK,2947191,3764281,5557144,0,12268615,0
BLC,2022Q4,Oregon,OR,4871612,17210539,8515016,0,30597166,0
BLC,2022Q4,Pennsylvania,PA,30442106,103214691,35254600,0,168911397,700000
BLC,2022Q4,Rhode Island,RI,4079226,31559299,3322997,38961523,11950,0
BLC,2022Q4,South Carolina,SC,11239604,31395934,8026954,0,50662493,0
BLC,2022Q4,South Dakota,SD,764333,4485364,4495085,0,9744782,0
BLC,2022Q4,Tennessee,TN,10968447,32313092,11244209,0,54525749,0
BLC,2022Q4,Texas,TX,26357063,67980220,29946081,124283363,200000,0
BLC,2022Q4,Utah,UT,1401748,1703454,2198485,0,5303686,0
BLC,2022Q4,Vermont,VT,1757031,6668499,4355983,0,12781513,0
BLC,2022Q4,Virginia,VA,13796494,36995223,14919118,0,65710836,0
BLC,2022Q4,Washington,WA,8444478,39491122,22366224,0,70301823,0
BLC,2022Q4,West Virginia,WV,6628773,23786705,5100596,0,35516074,0
BLC,2022Q4,Wisconsin,WI,12779552,32667712,13931054,0,59378318,60000
BLC,2022Q4,Wyoming,WY,319916,511449,1037329,0,1868694,0
BLC,2022Q4,American Samoa,AS,4092,0,0,0,4092,0
BLC,2022Q4,Guam,GU,8675,3914,0,0,12589,0
BLC,2022Q4,Puerto Rico,PR,59667,6228,0,0,65895,0
BLC,2022Q4,U.S. Virgin Islands,VI,6863,5374,0,0,12237,0
BLC,2022Q4,Northern Mariana Islands,MP,3201,0,0,0,3201,0
BLC,2022Q4,Alabama,AL,2882742,7135754,818,1604804,11624118,0
BLC,2022Q4,Alaska,AK,74249,200,2696,27801,104945,0
BLC,2022Q4,Arizona,AZ,6016840,14761469,32387,4410295,25220991,0
BLC,2022Q4,Arkansas,AR,3612464,7764664,9569,2663824,14050520,0
BLC,2022Q4,California,CA,37628121,54221345,249723,21911841,114011030,0
BLC,2022Q4,Colorado,CO,6894831,27765002,36949,3785229,38482011,0
BLC,2022Q4,Connecticut,CT,9226299,29589937,39444,9270580,48126259,0
BLC,2022Q4,Delaware,DE,2919512,6848002,4871,900823,909687208,0
BLC,2022Q4,District Of Columbia,DC,893345,1184764,180971,0,2259079,0
BLC,2022Q4,Florida,FL,49836926,190166639,117583,36543024,276746558,0
BLC,2022Q4,Georgia,GA,11177658,26698388,21415,3847593,41855508,0
BLC,2022Q4,Hawaii,HI,1694695,2217765,1693,978685,5392838,0
BLC,2022Q4,Idaho,ID,1715758,3601459,11059,2471581,7799857,0
BLC,2022Q4,Illinois,IL,21570876,25354807,44860,5850984,152861527,0
BLC,2022Q4,Indiana,IN,19252371,72424218,35327,6759096,98491012,0
BLC,2022Q4,Iowa,IA,18627208,123031710,24774,11526830,153210521,0
BLC,2022Q4,Kansas,KS,7566203,30630016,28600,12480409,50734348,0
BLC,2022Q4,Kentucky,KY,8371652,35340199,7024,3506668,47225543,0
BLC,2022Q4,Louisiana,LA,3072439,1355139,25448,1836105,6289131,0
BLC,2022Q4,Maine,ME,4448193,20067712,28894,2368682,26913481,0
BLC,2022Q4,Maryland,MD,9933659,31698035,22202,2617519,44271415,0
BLC,2022Q4,Massachusetts,MA,6527160,33293841,40480,4910148,44771630,0
BLC,2022Q4,Michigan,MI,26940806,81285925,40812,6506347,114826306,0
BLC,2022Q4,Minnesota,MN,9935944,39658287,29017,7825513,57504432,0
BLC,2022Q4,Mississippi,MS,2843953,4282148,11919,2281227,9419246,0
BLC,2022Q4,Missouri,MO,14005345,45045032,37183,9559695,68702256,0
BLC,2022Q4,Montana,MT,1386632,2119694,11043,1091112,4608481,0
BLC,2022Q4,Nebraska,NE,3119325,24907705,4564,5569288,33600882,0
BLC,2022Q4,Nevada,NV,2701216,1740978,18147,1609098,6069439,0
BLC,2022Q4,New Hampshire,NH,2760859,24458304,24819,3335675,30604656,0
BLC,2022Q4,New Jersey,NJ,15698430,34724704,8004,7718720,58758902,0
BLC,2022Q4,New Mexico,NM,949440,2118346,3950,587378,3659114,0
BLC,2022Q4,New York,NY,1318811,2627856,2524,808190,4757381,0
BLC,2022Q4,North Carolina,NC,18975746,96291987,52093,13356901,128835334,0
BLC,2022Q4,North Dakota,ND,534047,2168399,1975,867243,3571664,0
BLC,2022Q4,Ohio,OH,17819511,43994499,45833,5889461,68046063,0
BLC,2022Q4,Oklahoma,OK,2947191,3764281,11402,3067066,9789939,0
BLC,2022Q4,Oregon,OR,4871612,17210539,30656,4255121,26367928,0
BLC,2022Q4,Pennsylvania,PA,30442106,103214691,78657,7142822,141578275,0
BLC,2022Q4,Rhode Island,RI,4079226,31559299,6179,1164173,36820827,0
BLC,2022Q4,South Carolina,SC,11239604,31395934,13034,4400185,47048757,0
BLC,2022Q4,South Dakota,SD,764333,4485364,516,2136996,7387209,0
BLC,2022Q4,Tennessee,TN,10968447,32313092,35048,5075496,48392082,0
BLC,2022Q4,Texas,TX,26357063,67980220,69936,21428996,116036215,0
BLC,2022Q4,Utah,UT,1401748,1703454,3266,1197291,4305759,0
BLC,2022Q4,Vermont,VT,1757031,6668499,10203,981657,9417390,0
BLC,2022Q4,Virginia,VA,13796494,36995223,26851,6090697,56909265,0
BLC,2022Q4,Washington,WA,8444478,39491122,74915,18451526,66462041,0
BLC,2022Q4,West Virginia,WV,6628773,23786705,10628,1325511,31751617,0
BLC,2022Q4,Wisconsin,WI,12779552,32667712,37312,8118777,53663353,0
BLC,2022Q4,Wyoming,WY,319916,511449,1500,582540,1415404,0
BLC,2022Q4,American Samoa,AS,4092,0,0,0,4092,0
BLC,2022Q4,Guam,GU,8675,2555,0,0,11230,0
BLC,2022Q4,Puerto Rico,PR,59667,2539,0,0,62206,0
BLC,2022Q4,U.S. Virgin Islands,VI,6863,5374,0,0,12237,0
BLC,2022Q4,Northern Mariana Islands,MP,3201,0,0,0,3201,0
BLC,2022Q4,Aggregate Other Alien,OT,37598,17137,0,0,54736,0
BLC,2023Q3,Alabama,AL,2048348,4372255,1998377,0,8418980,0
BLC,2023Q3,Alaska,AK,51086,48719,0,0,99805,0
BLC,2023Q3,Arizona,AZ,4459736,10422387,6703448,0,21585571,0
BLC,2023Q3,Arkansas,AR,2859273,3155955,2946590,0,8961818,0
BLC,2023Q3,California,CA,28545427,42402450,24073040,0,95020917,0
BLC,2023Q3,Colorado,CO,4882732,16725436,7841818,0,29449986,0
BLC,2023Q3,Connecticut,CT,7080965,20921943,7877817,0,35880725,0
BLC,2023Q3,Delaware,DE,1882190,4056071,2234112,0,8172373,0
BLC,2023Q3,District Of Columbia,DC,785825,327205,318900,0,1431930,0
BLC,2023Q3,Florida,FL,37068037,140150277,46388765,0,223607079,0
BLC,2023Q3,Georgia,GA,8024252,16435156,8754049,0,33213456,0
BLC,2023Q3,Hawaii,HI,2263428,2114433,1427268,0,5805129,0
BLC,2023Q3,Idaho,ID,1356719,1183646,3302198,0,5842563,0
BLC,2023Q3,Illinois,IL,16721938,21650682,10296970,0,48669590,705550000
BLC,2023Q3,Indiana,IN,15159295,50931120,15291842,81382256,9631,0
BLC,2023Q3,Iowa,IA,13320581,81497387,17513368,0,112331336,94966
BLC,2023Q3,Kansas,KS,5833996,26343529,10633049,42810573,776770,0
BLC,2023Q3,Kentucky,KY,6222020,26163349,5023051,0,37408421,0
BLC,2023Q3,Louisiana,LA,2448170,1429164,2525797,0,6403131,0
BLC,2023Q3,Maine,ME,2806528,10042685,2404319,0,15253532,101634
BLC,2023Q3,Maryland,MD,7579571,17180510,5413497,0,30173578,0
BLC,2023Q3,Massachusetts,MA,5469614,25451742,5656426,0,36577782,253178
BLC,2023Q3,Michigan,MI,19705160,68453462,11326757,0,99485379,0
BLC,2023Q3,Minnesota,MN,7203199,27263128,6748211,0,41214538,361762
BLC,2023Q3,Mississippi,MS,2090792,1285083,2578245,0,5954121,0
BLC,2023Q3,Missouri,MO,10321114,30892475,14498408,0,55711997,34198
BLC,2023Q3,Montana,MT,994635,6651129,1881319,0,9527083,0
BLC,2023Q3,Nebraska,NE,2408941,15914734,6429276,0,24752951,30000
BLC,2023Q3,Nevada,NV,1936315,1338891,2265230,0,5540436,0
BLC,2023Q3,New Hampshire,NH,2106601,18599833,6670163,0,27376596,0
BLC,2023Q3,New Jersey,NJ,12283336,24358897,19066125,0,55708358,757959
BLC,2023Q3,New Mexico,NM,779731,1897930,739397,0,3417058,0
BLC,2023Q3,New York,NY,1047225,660303,1090577,0,2798105,0
BLC,2023Q3,North Carolina,NC,13441536,69448644,16271026,0,99161206,124019
BLC,2023Q3,North Dakota,ND,458543,1908914,840100,0,3207557,0
BLC,2023Q3,Ohio,OH,13629047,24522898,10861622,0,49013567,0
BLC,2023Q3,Oklahoma,OK,2201444,4087236,3889430,0,10178110,0
BLC,2023Q3,Oregon,OR,3525322,13499218,5949557,0,22974096,0
BLC,2023Q3,Pennsylvania,PA,22588685,68800960,24878837,0,116268482,0
BLC,2023Q3,Rhode Island,RI,3106296,18275711,2223605,0,23605612,63223
BLC,2023Q3,South Carolina,SC,8300105,23358533,5580693,0,37239330,0
BLC,2023Q3,South Dakota,SD,696830,1671673,3497401,0,5865904,0
BLC,2023Q3,Tennessee,TN,8124919,22017479,6338530,0,36480928,0
BLC,2023Q3,Texas,TX,21307647,44768180,21317934,0,87393761,0
BLC,2023Q3,Utah,UT,1076977,1295791,1513096,0,3885864,0
BLC,2023Q3,Vermont,VT,1265638,2629568,2880736,0,6775942,154000
