name,state,date_acquired,book_value,investment_income,ownership_pct
"Wynnchurch Capital Partners VI, L.P. Chicago",IL,01/18/2024,0,0,0.14
"MetLife Next Gen Ventures, LLC Wilmington",DE,06/27/2022,0,0,100.0
p000038 Seattle Union Street Associates Seattle,WA,07/22/1980,0,0,55.0
p000658 Tishman Metlife Hotel Ventures. LLC New York,NY,07/18/2007,0,0,63.0
p001876 ML District NoHo Master Member LLC North Hollywood,CA,02/15/2019,0,0,95.0
"p002017 Studebaker Industrial, LLC Long Beach",CA,07/19/2019,0,0,95.0
"p002138 MetWest International Venture, LLC Tampa",FL,12/16/2019,0,0,50.0
p002271 MTU Commercial Holdings LLC Atlanta,GA,10/30/2020,0,0,95.0
p002596 ML Navy Yard Members LLC Philadelphia,PA,09/21/2023,0,0,71.975
"p002684 ML Cooperative Member, LLC Whippany",NJ,03/24/2024,0,0,50.0
"p002880 Shea Residences Investor JV, LLC Scottsdale",AZ,06/25/2025,0,0,50.0
"p002881 Founders Investor JV, LLC Columbus",OH,06/25/2025,0,0,0.0
"p002881 Founders Investor JV, LLC Columbus",OH,06/25/2025,0,0,0.0
"Admini- Date Type Actual Cost Additional for p002882 ML-PGGM Penrose Southstone Inv JV, LLC Frisco",TX,06/25/2025,0,0,1.0
"p002883 Markham Investor JV, LLC Cupertino",CA,06/25/2025,0,0,8.0
"p002883 Markham Investor JV, LLC Cupertino",CA,06/25/2025,0,0,42.0
p000882 Entity,NY,12/09/2009,0,0,100.0
p000987 Entity,GA,08/01/2012,0,0,100.0
"p001020 MetLife 425 MKT Member, LLC San Francisco",CA,01/09/2014,0,0,100.0
p001071 Entity,DE,09/30/2013,0,0,100.0
p001072 Entity,DE,08/30/2013,0,0,100.0
p001089 Entity,DE,09/11/2014,0,0,100.0
"p001107 MetLife Park Tower Member, LLC San Francisco",CA,09/29/2015,0,0,100.0
"p001504 ML Sentinel Square Member, LLC Washington",DC,09/18/2017,0,0,100.0
p002064 ML Armature Member LLC Washington,DC,08/30/2019,0,0,87.01
p002093 ML 1065 Hotel LLC Atlanta,GA,09/30/2019,0,0,100.0
"p002115 MMP Owners III, LLC Whippany",NJ,11/25/2019,0,0,100.0
E03.5 p002140 ML 300 Third Member LLC Waltham,MA,12/19/2019,0,0,100.0
p002245 Entity,NJ,04/01/2020,0,0,100.0
"p002379 MetLife Single Family Rental Fund, LP Whippany",NJ,03/01/2022,0,0,20.0
p002479 ML Terminal 106 Member LLC Seattle,WA,10/24/2022,0,0,87.45
"p002536 ML 610 Zane Member, LLC Minneapolis",MN,03/23/2023,0,0,100.0
"p002549 ML 240 West 35th Owner, LLC Whippany",NJ,05/29/2024,0,0,74.937
"p002595 Metlife Clal Member 2.0, LLC Whippany",NY,07/17/2023,0,0,100.0
p002920 PF Venture LLC Alpaugh,CA,07/31/2025,0,0,52.941
p002922 4000 MacArthur Venture LLC Newport Beach,CA,08/28/2025,0,0,94.802
p002719 Entity,CA,01/24/2024,0,0,100.0
p002599 Entity,WA,10/01/2023,0,0,98.66
p002910 TREA 99 High Street LLC New York,NY,06/25/2025,0,0,3.9
p002910 TREA 99 High Street LLC New York,NY,06/25/2025,0,0,9.09
MetLIfe Credit Suisse - First & NEW YORK LIFE INS CO 5.875% 05/15/33 New York,NY,04/12/2005,0,0,0.0
PACIFIC LIFE INSURANCE COMPANY 5.9500 2055-09-15 OMAHA NE WELLS FARGO &,CO,09/03/2025,0,0,0.0
0000703867 ARGENTIC REAL ESTATE INVESTMENT LLC NEW YORK,NY,06/06/2024,0,0,0.0
0000703876 LOANCORE CREDIT REIT LLC GREENWICH,CT,07/11/2024,0,0,0.0
0000703949 ARGENTIC REAL ESTATE INVESTMENT LLC NEW YORK,NY,01/10/2025,0,0,0.0
0000703962 MESA WEST REAL ESTATE FUND V NEW YORK,NY,04/04/2025,0,0,0.0
"CREA Corporate Tax Credit Fund 39, LLC Indianapolis",IN,06/25/2014,0,0,33.44
"CREA Corporate Tax Credit Fund 43, LLC Indianapolis",IN,06/10/2015,0,0,16.59
"CREA Corporate Tax Credit Fund XXIV, LLC Indianapolis",IN,09/28/2011,0,0,99.9
R4 SAN FRANCISCO HOUSING PARTNERS LP New York,NY,06/19/2025,0,0,50.97
"USB LIHTC Fund 87, LLC St. Louis",MO,05/29/2025,0,0,40.22
73758*-AG-6 POTENTIA LUDIS SPV LLC OCTL_2 Wilimington,DE,03/28/2025,0,0,0.0
"Admini- Date Type Actual Cost Additional for MetLife Senior Direct Lending Fund II, LP Whippany",NJ,12/18/2023,0,0,28.57
SUNWEALTH PROJECT POOL 60 LLC Cambridge,MA,02/25/2025,0,0,99.9
