entity,period,state,loan_count,total_book_value,avg_interest_rate
AGL,2025Q4,VA,968,957162775.0,6.2995
AGL,2025Q4,VT,11,3467861.0,5.72
AGL,2025Q4,WA,616,631126811.0,5.2386
AGL,2025Q4,WI,412,86465404.0,7.0887
AGL,2025Q4,WV,72,10234477.0,7.0773
AGL,2025Q4,WY,11,3070723.0,6.7945
USL,2021Q4,AL,2,5976544.0,3.103
USL,2021Q4,AZ,8,67360776.0,3.5442
USL,2021Q4,CA,26,222209529.0,4.1195
USL,2021Q4,CAN,1,46557280.0,3.124
USL,2021Q4,CO,5,2565864.0,3.8064
USL,2021Q4,CT,9,113676511.0,4.3293
USL,2021Q4,DC,4,119206003.0,3.8415
USL,2021Q4,FL,15,116243919.0,3.8681
USL,2021Q4,GA,8,944744803.0,3.6369
USL,2021Q4,GBR,7,344247454.0,4.3727
USL,2021Q4,HI,1,709709.0,8.0
USL,2021Q4,ID,4,2227886.0,3.7475
USL,2021Q4,IL,10,34117353.0,3.718
USL,2021Q4,IRL,2,30655479.0,3.355
USL,2021Q4,LAS,1,394240.0,3.651
USL,2021Q4,MA,7,31639191.0,3.8286
USL,2021Q4,MD,3,23239178.0,3.9777
USL,2021Q4,MN,5,2327544.0,3.3686
USL,2021Q4,MO,4,42418472.0,3.3875
USL,2021Q4,NC,7,24039112.0,3.9416
USL,2021Q4,NEW,1,2148464.0,7.43
USL,2021Q4,NJ,8,110076888.0,3.8937
USL,2021Q4,NV,4,28106182.0,4.003
USL,2021Q4,NY,25,434319657.0,4.5903
USL,2021Q4,OH,4,70544204.0,3.9825
USL,2021Q4,OK,1,459215.0,4.032
USL,2021Q4,OR,3,1884678.0,2.9227
USL,2021Q4,PA,1,13439116.0,4.55
USL,2021Q4,RI,2,5102775.0,3.896
USL,2021Q4,SAN,1,6783794.0,4.15
USL,2021Q4,SC,5,44924550.0,3.3192
USL,2021Q4,TN,3,277324542.0,4.1667
USL,2021Q4,TX,21,134946714.0,3.7842
USL,2021Q4,UT,3,284675203.0,3.458
USL,2021Q4,VA,7,74832274.0,3.3236
USL,2021Q4,WA,7,4690999.0,3.0773
USL,2021Q4,WI,2,14936533.0,4.81
USL,2021Q4,WV,1,604471.0,4.082
USL,2022Q4,AL,11,18362752.0,3.684
USL,2022Q4,AR,2,2166236.0,2.788
USL,2022Q4,AZ,25,16241663.0,4.2252
USL,2022Q4,CA,377,661159977.0,4.1621
USL,2022Q4,CAN,2,20318441.0,6.325
USL,2022Q4,CO,45,28287086.0,4.2831
USL,2022Q4,CT,13,28659006.0,4.9095
USL,2022Q4,CZE,1,18530125.0,1.45
USL,2022Q4,DC,15,103311858.0,4.3725
USL,2022Q4,DE,4,2820218.0,4.9865
USL,2022Q4,DEU,6,216641092.0,3.6653
USL,2022Q4,FIN,2,110386443.0,4.262
USL,2022Q4,FL,94,156650501.0,4.3197
USL,2022Q4,FRA,1,10600643.0,4.012
USL,2022Q4,GA,55,44524258.0,4.129
USL,2022Q4,GBR,21,334664105.0,6.3295
USL,2022Q4,HI,10,157470592.0,4.4668
USL,2022Q4,IA,1,528882.0,6.091
USL,2022Q4,ID,10,4991676.0,3.9566
USL,2022Q4,IL,43,109098001.0,4.41
USL,2022Q4,IN,15,65018715.0,5.21
USL,2022Q4,IRL,3,5510732.0,6.2707
USL,2022Q4,KY,1,40301798.0,4.55
USL,2022Q4,LA,6,11175424.0,3.9857
USL,2022Q4,LAS,1,745294.0,2.724
USL,2022Q4,LOS,2,2061465.0,2.706
USL,2022Q4,MA,25,88237406.0,4.6937
USL,2022Q4,MD,45,50442337.0,4.5685
USL,2022Q4,MI,4,1642038.0,4.9233
USL,2022Q4,MN,16,13728302.0,4.5824
USL,2022Q4,MO,5,8872879.0,6.01
USL,2022Q4,MT,4,1857097.0,4.6405
USL,2022Q4,NC,37,107260368.0,4.7271
USL,2022Q4,NH,2,863643.0,6.482
USL,2022Q4,NJ,69,200415886.0,5.5739
USL,2022Q4,NLD,6,121364895.0,3.019
USL,2022Q4,NM,10,65894538.0,4.8884
USL,2022Q4,NV,34,53619468.0,3.9471
USL,2022Q4,NY,90,856161712.0,5.0812
USL,2022Q4,OH,10,51218554.0,5.2333
USL,2022Q4,OK,11,4518207.0,5.7817
USL,2022Q4,OR,36,19038823.0,4.971
USL,2022Q4,PA,21,87442187.0,4.4217
USL,2022Q4,RI,4,21184372.0,4.2068
USL,2022Q4,SC,36,40280989.0,3.9466
USL,2022Q4,TN,43,49839460.0,3.6027
USL,2022Q4,TX,125,304885229.0,4.493
