name,state,date_acquired,book_value,investment_income,ownership_pct
"Hillhouse Fund IV, L.P. Beijing",CHN,07/30/2018,64064851,-1222869,0.444
The Wharf Phase II Washington,DC,12/20/2019,62984900,4949555,0.0
NATIONWIDE MUTUAL INSURANCE CO --- OH NATIONWIDE MUTUAL INSURANCE CO 1.G,FE,05/22/2013,60285031,4201875,0.0
"LS Power Equity Partners IV, L.P. New York",NY,06/07/2019,60076449,-636371,4.699
Palomino Business Park Norco,CA,03/25/2022,59366673,4514878,0.0
"General Atlantic Investment Partners 2023, New York City",NY,09/24/2018,59158986,601399,0.303
Park 303 Glendale,AZ,03/09/2022,56358362,3778918,0.0
"Carlyle ETPE Alternative Opportunities Fund, L.P. Washington, DC",DC,09/30/2019,50596812,60268,81.3
Corebridge U.S. Real Estate Fund IV Development Sidecar LP New York City,NY,09/01/2021,48395775,0,46.57
"Carlyle Global Partners II, L.P. Bitbourg",LUX,03/17/2020,47008079,14142158,5.73
AEA Investors Fund VII LP New York,NY,11/04/2019,46142045,-725771,1.028
. NORTHWESTERN MUTUAL LIFE INSURANCE CO --- WI NORTHWESTERN MUTUAL LIFE INSURANCE CO 1.C,FE,09/21/2017,45955804,1790019,0.0
"Apollo Investment Fund IX, L.P. Palo Alto",CA,03/14/2019,45145069,1774643,0.371
"Carlyle Realty Partners VIII Washington, DC",DC,12/13/2018,43276023,2767342,1.54
Cambridge,MA,02/23/2018,41883994,1396053,5.49
"LS Polaris Innovation Fund, L.P. Boston",MA,10/30/2017,41874827,-50000,39.54
"Altaris Health Partners IV, L.P. USA Altaris Capital Partners, LLC",,06/15/2018,40324307,0,4.163
Sverica Capital Partners VI-A L.P. St. Louis,MO,05/10/2018,38448407,4781982,3.9
"ALPINVEST SECONDARIES FUND (ONSHORE) VII, L.P. Washington, DC",DC,04/14/2021,37858739,-4178807,2.931
